,Unnamed: 0,Images,Irradiance,Validation
0,0,/content/New_Data/New_Test_Folder/0/555.97.jpg,555,True
1,1,/content/New_Data/New_Test_Folder/1/460.67.jpg,460,False
2,2,/content/New_Data/New_Test_Folder/2/623.62.jpg,623,False
3,3,/content/New_Data/New_Test_Folder/3/694.82.jpg,694,False
4,4,/content/New_Data/New_Test_Folder/4/573.59.jpg,573,False
5,5,/content/New_Data/New_Test_Folder/5/558.65.jpg,558,False
6,6,/content/New_Data/New_Test_Folder/6/459.35.jpg,459,False
7,7,/content/New_Data/New_Test_Folder/7/519.57.jpg,519,False
8,8,/content/New_Data/New_Test_Folder/8/407.11.jpg,407,True
9,9,/content/New_Data/New_Test_Folder/9/453.0.jpg,453,False
10,10,/content/New_Data/New_Test_Folder/10/389.28.jpg,389,False
11,11,/content/New_Data/New_Test_Folder/11/294.58.jpg,294,False
12,12,/content/New_Data/New_Test_Folder/12/380.81.jpg,380,False
13,13,/content/New_Data/New_Test_Folder/13/300.86.jpg,300,False
14,14,/content/New_Data/New_Test_Folder/14/199.59.jpg,199,False
15,15,/content/New_Data/New_Test_Folder/15/233.86.jpg,233,False
16,16,/content/New_Data/New_Test_Folder/16/160.29.jpg,160,True
17,17,/content/New_Data/New_Test_Folder/17/93.15.jpg,93,False
18,18,/content/New_Data/New_Test_Folder/18/92.53.jpg,92,False
19,19,/content/New_Data/New_Test_Folder/19/64.91.jpg,64,False
20,20,/content/New_Data/New_Test_Folder/20/41.13.jpg,41,False
21,21,/content/New_Data/New_Test_Folder/21/16.71.jpg,16,False
22,22,/content/New_Data/New_Test_Folder/22/4.22.jpg,4,False
23,23,/content/New_Data/New_Test_Folder/23/186.83.jpg,186,False
24,24,/content/New_Data/New_Test_Folder/24/236.57.jpg,236,True
25,25,/content/New_Data/New_Test_Folder/25/294.96.jpg,294,False
26,26,/content/New_Data/New_Test_Folder/26/337.09.jpg,337,False
27,27,/content/New_Data/New_Test_Folder/27/365.15.jpg,365,False
28,28,/content/New_Data/New_Test_Folder/28/397.28.jpg,397,False
29,29,/content/New_Data/New_Test_Folder/29/471.47.jpg,471,False
30,30,/content/New_Data/New_Test_Folder/30/545.79.jpg,545,False
31,31,/content/New_Data/New_Test_Folder/31/581.86.jpg,581,False
32,32,/content/New_Data/New_Test_Folder/32/625.51.jpg,625,True
33,33,/content/New_Data/New_Test_Folder/33/668.36.jpg,668,False
34,34,/content/New_Data/New_Test_Folder/34/701.99.jpg,701,False
35,35,/content/New_Data/New_Test_Folder/35/744.63.jpg,744,False
36,36,/content/New_Data/New_Test_Folder/36/821.06.jpg,821,False
37,37,/content/New_Data/New_Test_Folder/37/877.17.jpg,877,False
38,38,/content/New_Data/New_Test_Folder/38/903.78.jpg,903,False
39,39,/content/New_Data/New_Test_Folder/39/867.8.jpg,867,False
40,40,/content/New_Data/New_Test_Folder/40/948.57.jpg,948,True
41,41,/content/New_Data/New_Test_Folder/41/963.89.jpg,963,False
42,42,/content/New_Data/New_Test_Folder/42/981.56.jpg,981,False
43,43,/content/New_Data/New_Test_Folder/43/1001.2.jpg,1001,False
44,44,/content/New_Data/New_Test_Folder/44/1008.5.jpg,1008,False
45,45,/content/New_Data/New_Test_Folder/45/955.59.jpg,955,False
46,46,/content/New_Data/New_Test_Folder/46/1019.5.jpg,1019,False
47,47,/content/New_Data/New_Test_Folder/47/965.12.jpg,965,False
48,48,/content/New_Data/New_Test_Folder/48/1007.4.jpg,1007,True
49,49,/content/New_Data/New_Test_Folder/49/737.5.jpg,737,False
50,50,/content/New_Data/New_Test_Folder/50/989.89.jpg,989,False
51,51,/content/New_Data/New_Test_Folder/51/887.97.jpg,887,False
52,52,/content/New_Data/New_Test_Folder/52/722.63.jpg,722,False
53,53,/content/New_Data/New_Test_Folder/53/880.84.jpg,880,False
54,54,/content/New_Data/New_Test_Folder/54/851.96.jpg,851,False
55,55,/content/New_Data/New_Test_Folder/55/835.03.jpg,835,False
56,56,/content/New_Data/New_Test_Folder/56/830.21.jpg,830,True
57,57,/content/New_Data/New_Test_Folder/57/796.94.jpg,796,False
58,58,/content/New_Data/New_Test_Folder/58/620.21.jpg,620,False
